% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 1 2024, 13:05"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
40,-0.8665421740985564+0.4975739476144086i,1.7196390492904036E-4+2.975587561616842E-4i
41,-0.8575334263578815+0.512843712205813i,1.9332171838232182E-4+3.2116117616151635E-4i
42,-0.8480187283065629+0.5283254488866225i,2.1761622092725036E-4+3.470103413768316E-4i
43,-0.8379666907293988+0.5440225338186908i,2.4531713580564564E-4+3.7536476194694114E-4i
44,-0.8273434063191265+0.5599376708741116i,2.7698084217963687E-4+4.0651585327841877E-4i
45,-0.8161122175233314+0.5760727528909533i,3.132685792846378E-4+4.4079227622375987E-4i
46,-0.8042334588302706+0.5924286986286932i,3.5496896758904897E-4+4.785647692119054E-4i
47,-0.7916641700933552+0.6090052611161866i,4.0302599469249596E-4+5.202514735676894E-4i
48,-0.7783577769513612+0.6258008021018148i,4.5857395421380415E-4+5.663237179603721E-4i
49,-0.7642637336251358+0.6428120264126921i,5.229812793426225E-4+6.173121701042447E-4i
50,-0.7493271225580473+0.6600336685721593i,5.979058194209193E-4+6.738131704561765E-4i
51,-0.7334882041860153+0.67745812250208i,6.853649265503661E-4+7.364949156904103E-4i
52,-0.7166819087237752+0.6950750030700266i,7.878248314864506E-4+8.061029294538702E-4i
53,-0.6988372600426382+0.7128706255668713i,9.083153111166425E-4+8.834638990549537E-4i
54,-0.679876719170635+0.730827386084314i,0.0010505777544434747+9.694863999995996E-4i
55,-0.6597154318252719+0.7489230212541329i,0.0012192576664845764+0.0010651561631194733i
56,-0.6382603598515336+0.7671297204144574i,0.0014201567759433683+0.001171522186705852i
57,-0.6154092703739262+0.7854130556589338i,0.0016605657750031002+0.0012896678749181971i
58,-0.5910495477950755+0.8037306852692114i,0.0019497071377430296+0.0014206580369959339i
59,-0.5650567811969827+0.8220307721767907i,0.0022993296990316834+0.0015654472629713515i
60,-0.5372930644350804+0.8402500377759287i,0.002724514699436065+0.0017247266591826863i
61,-0.5076049104851155+0.8583113492660376i,0.003244780070214114+0.001898672070187847i
62,-0.4758206611094415+0.8761206837651677i,0.003885610922766552+0.0020865339988895156i
63,-0.4417471887154417+0.8935632645775459i,0.00468060833581696+0.002285970816298403i
64,-0.40516561066118567+0.9104985521293896i,0.0056745494538952826+0.0024919603517938845i
65,-0.36582557230654894+0.9267536169607118i,0.006927814203481105+0.002695008150000213i
66,-0.32343740237975943+0.9421141483477071i,0.008522901013350903+0.0028781604709070836i
